rho,pair,mae
2.379670436434168923e-01,5.796610169491525077e-01,1.481272041336537200e+02
-3.658069441120485599e-01,3.796610169491525522e-01,1.982380655979322626e+02
1.016558244690324575e-01,5.932203389830508211e-01,1.493142059239357309e+02
-2.826339968192039254e-01,4.440677966101694851e-01,1.757900804368840966e+02
3.866001809352597740e-01,6.474576271186440746e-01,1.252500150203261313e+02
-1.139777425864909322e-01,4.576271186440677985e-01,1.948893702749303714e+02
2.464383623491695971e-02,5.118644067796610519e-01,1.869932477440379728e+02
-1.925299705852887315e-03,4.915254237288135819e-01,1.844071096579287996e+02
-1.667309545268600146e-01,4.610169491525423768e-01,2.001253347136785692e+02
-2.348865641140522320e-01,4.203389830508474367e-01,2.087934667873028900e+02
3.792840420530187995e-01,6.237288135593220817e-01,1.404201389840700642e+02
-3.681173037590720343e-01,3.728813559322033955e-01,2.127245940078929607e+02
1.601849355269602260e-01,5.457627118644067243e-01,1.678421932533372853e+02
1.351560393508726976e-01,6.135593220338982912e-01,1.749063804169188643e+02
-3.419332277594728242e-01,3.898305084745762872e-01,2.024139151731666288e+02
2.579901605842868997e-02,5.152542372881355748e-01,1.727104027560837949e+02
2.387371635257580227e-01,6.338983050847457612e-01,1.615718301502061252e+02
-4.663075887575692802e-01,3.322033898305084554e-01,2.166923348138159895e+02
-3.169043315833852126e-01,3.864406779661017088e-01,2.060276011897316266e+02
-1.397767586449196187e-01,4.576271186440677985e-01,2.012179728609591507e+02
1.829034720560242799e-01,5.559322033898305149e-01,1.707042646118301548e+02
1.185984618805378532e-01,5.762711864406779849e-01,1.509577790882558759e+02
1.825184121148537564e-01,5.559322033898305149e-01,1.654684359052938589e+02
-1.728919135855893074e-01,4.610169491525423768e-01,1.974432472326869288e+02
-6.041590476966360868e-01,2.813559322033898358e-01,2.079082375417185631e+02
4.620719294046929729e-03,5.084745762711864181e-01,1.735131153705746954e+02
-2.310359647023464864e-03,5.288135593220338881e-01,1.505041927423393417e+02
-1.251444808804376696e-01,4.711864406779661119e-01,1.934134929524607571e+02
-3.234503505832850984e-02,4.813559322033898469e-01,1.846854970053146019e+02
-5.621875141090431488e-02,4.745762711864406902e-01,1.779856103131551208e+02
-1.886793711735829659e-01,4.644067796610169552e-01,1.483011351644690876e+02
5.544863152856316368e-02,5.220338983050847315e-01,1.748534937766853545e+02
1.401618185860901977e-01,5.694915254237288282e-01,1.521671594267870091e+02
5.163653811097443924e-01,6.677966101694915446e-01,1.251277806307552822e+02
-5.313827188153969622e-02,4.779661016949152685e-01,1.953119146246758362e+02
-8.548330693986820605e-02,5.016949152542372614e-01,1.780702041295058677e+02
2.884098959367625281e-01,5.999999999999999778e-01,1.562889720663510786e+02
-1.239893010569259463e-01,4.542372881355932202e-01,1.863813400430135516e+02
1.386215788214079092e-02,5.322033898305085220e-01,1.795464927774810633e+02
7.508668852826261286e-02,5.694915254237288282e-01,1.583794473782284342e+02
-4.636121691693752545e-01,3.559322033898305038e-01,2.360112136108449761e+02
1.151329224100026555e-01,5.423728813559322015e-01,1.717892500646800045e+02
